Condition,Category,Trait,Mean_Diff,P_Value,Cohens_d,CI_Low,CI_High,N
hair,Openness,"Is ingenious, a deep thinker",-0.006555212,0.6201552313061367,-0.480297263,-0.025470706,0.012360282167792317,2
jewelry,Agreeableness,has a forgiving nature,-0.000732788,0.6385819257386399,-0.450956177,-0.002984875,0.001519299,2
jewelry,Extraversion,is talkative,-0.000998845,0.639512545,-0.449503459,-0.004078527,0.002080838,2
makeup,Neuroticism,"Is emotionally stable, not easily upset",-0.011026926,0.6465493194225597,-0.438605247,-0.045870422,0.023816569745540625,2
jewelry,Agreeableness,tends to find fault with others,-9.96E-05,0.6471217702192893,-0.437725268,-0.000415115,0.000215838,2
makeup,Agreeableness,Is sometimes rude to others,0.001088809,0.6493157309538401,0.43436172488441355,-0.002385283,0.004562901,2
makeup,Extraversion,"is outgoing, sociable",0.018998781219124808,0.6548210080739401,0.4259838252180369,-0.042813348,0.080810911,2
hair,Extraversion,is full of energy,-0.004654582,0.6792618494646497,-0.389803595,-0.021203742,0.011894577536731954,2
jewelry,Openness,"Is original, comes up with new ideas",-0.009962989,0.684605868,-0.382099528,-0.046100166,0.026174188107252104,2
hair,Openness,Has an active imagination,-0.000282829,0.6855902834460704,-0.380688019,-0.001312493,0.000746835,2
makeup,Extraversion,has an assertive personality,0.003547757,0.7019766694836597,0.357527738,-0.010204856,0.017300371192395685,2
makeup,Conscientiousness,Does a thorough job,0.000447656,0.7181342751200928,0.3352738670625617,-0.001402829,0.00229814,2
hair,Agreeableness,has a forgiving nature,-0.001651973,0.724548939,-0.326588369,-0.008662382,0.005358436,2
jewelry,Conscientiousness,Does things efficiently,0.002093663,0.7263154369751246,0.324210772,-0.006856281,0.011043606,2
jewelry,Extraversion,has an assertive personality,-0.005415446,0.728295046,-0.321553518,-0.028756585,0.017925693020224575,2
jewelry,Conscientiousness,Is easily distracted,-0.000302933,0.737329164,-0.309520933,-0.001659364,0.001053498,2
makeup,Extraversion,avg,0.003282433,0.7391367474243555,0.30713148363549647,-0.011529529,0.018094394564628608,2
hair,Openness,"Is sophisticated in art, music, or literature",-0.00141477,0.7647780459656595,-0.273842447,-0.008574987,0.005745447,2
hair,Conscientiousness,Does things efficiently,0.000606785,0.7703465952386226,0.2667535391328465,-0.002545792,0.003759363,2
makeup,Openness,Is inventive,0.000102408,0.7715162757205749,0.26527048318107055,-0.000432632,0.000637448,2
makeup,Neuroticism,Gets nervous easily,-0.000358358,0.7783985297261863,-0.256585277,-0.002294009,0.001577292,2
jewelry,Neuroticism,Can be tense,-0.000718305,0.7802869921364917,-0.254214079,-0.004634372,0.003197763,2
hair,Conscientiousness,Is a reliable worker,0.006278627,0.7813700058053551,0.25285650427204787,-0.028135092,0.040692345052957546,2
jewelry,Neuroticism,"Is emotionally stable, not easily upset",-0.009801261,0.7926783527827325,-0.238777899,-0.066690341,0.047087818,2
hair,Conscientiousness,Makes plans and follows through with them,-0.000152251,0.7990950832831254,-0.230864657,-0.001066244,0.000761742,2
jewelry,Agreeableness,Is generally trusting,-0.000512252,0.8167321242895256,-0.209375489,-0.003903024,0.00287852,2
hair,Neuroticism,Worries a lot,-0.000325977,0.8267793328192983,-0.197292871,-0.00261588,0.001963926,2
hair,Neuroticism,ALL,0.000601912,0.8279375598477139,0.055294139,-0.004732052,0.005935876,16
makeup,Agreeableness,starts quarrels with others,4.9591704737395265e-05,0.828479488,0.19525897424190194,-0.000302405,0.000401589,2
hair,Openness,ALL,-0.0013501,0.8325623976601155,-0.050603191,-0.013675691,0.010975491337317783,18
hair,Agreeableness,ALL,-0.000448192,0.83455109,-0.049992487,-0.004589897,0.003693513,18
jewelry,Openness,"Likes to reflect, play with ideas",-0.000539545,0.8361430830031468,-0.186127706,-0.004557062,0.003477972,2
hair,Extraversion,ALL,0.00045487,0.8474616154021087,0.046036224773917854,-0.004109782,0.005019523,18
jewelry,Neuroticism,Can be moody,-0.001487479,0.8709198772208581,-0.145369548,-0.015668859,0.012693901099264611,2
hair,Agreeableness,Is generally trusting,0.004614448,0.8764914551021394,0.1389309478743825,-0.041417764,0.05064666,2
makeup,Neuroticism,ALL,0.000238927,0.90978876,0.028808291,-0.00382498,0.004302834,16
hair,Conscientiousness,Tends to be lazy,-4.29E-05,0.9209074570022917,-0.088304527,-0.000715475,0.000629763,2
makeup,Conscientiousness,Does things efficiently,0.000481943,0.9373966727898272,0.069759822,-0.009092888,0.010056773014366626,2
hair,Agreeableness,Is considerate and kind to almost everyone,-0.000251453,0.9439447091883408,-0.062423181,-0.00583425,0.005331344,2
makeup,Conscientiousness,Tends to be lazy,7.757276762276996e-06,0.948409473,0.057428437,-0.00017945,0.000194965,2
jewelry,Conscientiousness,Makes plans and follows through with them,9.471288649365523e-06,0.9637491410186468,0.040308156,-0.000316183,0.000335126,2
jewelry,Conscientiousness,Perseveres until the task is finished,-1.29E-05,0.9815001692709092,-0.020553932,-0.000880676,0.000854937,2
hair,Extraversion,avg,-1.11E-05,0.9962717446824572,-0.004141098,-0.003731848,0.003709613,2
